frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis
0,0.46584445238113403,0.2066585123538971,-0.2411450892686844,0.9999160766601562,0.46845123171806335,0.1980534791946411,-0.2248900681734085,0.999772846698761,0.47008392214775085,0.1994664967060089,-0.22493323683738708,0.9996881484985352,0.47167035937309265,0.20070672035217285,-0.22494493424892426,0.9996738433837891,0.4614883065223694,0.19392302632331848,-0.23597308993339539,0.9998335838317871,0.4582642912864685,0.19275283813476562,-0.2360147088766098,0.9998182654380798,0.4550769627094269,0.19196400046348572,-0.23609210550785065,0.9998383522033691,0.46912330389022827,0.20909714698791504,-0.1237235888838768,0.9992212057113647,0.44730791449546814,0.19735631346702576,-0.17477737367153168,0.9997813105583191,0.46638599038124084,0.22268423438072205,-0.20170825719833374,0.9998977184295654,0.4571353495121002,0.21712884306907654,-0.21663782000541687,0.9999442100524902,0.4836333990097046,0.2897067070007324,-0.04492717608809471,0.9997939467430115,0.40628543496131897,0.288324773311615,-0.12672020494937897,0.9999098777770996,0.4881364107131958,0.39338403940200806,-0.007862072438001633,0.9219813942909241,0.40436309576034546,0.3999871015548706,-0.11839532107114792,0.9852790832519531,0.4733603298664093,0.48446735739707947,-0.10484936088323593,0.8710595369338989,0.4253668487071991,0.47072362899780273,-0.19487833976745605,0.9757118821144104,0.47380802035331726,0.5162031054496765,-0.1322670727968216,0.7997149229049683,0.4270476996898651,0.49224281311035156,-0.22697655856609344,0.9557124376296997,0.4670974314212799,0.5125201344490051,-0.15812288224697113,0.8124516010284424,0.4317675828933716,0.4823513329029083,-0.2473878562450409,0.9579015374183655,0.46552297472953796,0.5019736289978027,-0.11756426841020584,0.7857962250709534,0.43088191747665405,0.4754239618778229,-0.20325402915477753,0.9384136199951172,0.4644591212272644,0.49441465735435486,0.01584366150200367,0.9995012283325195,0.42353084683418274,0.4925021827220917,-0.015811966732144356,0.9995943903923035,0.47979485988616943,0.6426146030426025,-0.004237107466906309,0.974496603012085,0.40091654658317566,0.6462981104850769,-0.04579862579703331,0.9767389297485352,0.49157145619392395,0.7871734499931335,0.11321005970239639,0.9741346836090088,0.3876070976257324,0.7906761169433594,0.07677774876356125,0.9871644973754883,0.4842741787433624,0.8095476031303406,0.11776763945817947,0.8852612376213074,0.38832855224609375,0.8181151151657104,0.0824534222483635,0.8765886425971985,0.5029274821281433,0.8379756212234497,0.01279318518936634,0.9630059599876404,0.37438851594924927,0.8278207778930664,-0.031887996941804886,0.9769558310508728
1,0.46979573369026184,0.21693123877048492,-0.2619630694389343,0.9999186396598816,0.470486044883728,0.2037823349237442,-0.25008517503738403,0.9997756481170654,0.47132012248039246,0.2041730135679245,-0.250103235244751,0.9996952414512634,0.472202867269516,0.20458272099494934,-0.2501012682914734,0.99968022108078,0.46519526839256287,0.20195257663726807,-0.2618117332458496,0.9998369812965393,0.4619395434856415,0.20110945403575897,-0.2618584632873535,0.9998226165771484,0.4584161043167114,0.2003713846206665,-0.26192086935043335,0.9998414516448975,0.46874234080314636,0.20978784561157227,-0.15944598615169525,0.999243974685669,0.4491446316242218,0.20400406420230865,-0.21330222487449646,0.9997842907905579,0.46748533844947815,0.23059363663196564,-0.22500406205654144,0.9998956918716431,0.4603756368160248,0.23064522445201874,-0.2407880276441574,0.9999426007270813,0.48374632000923157,0.28983214497566223,-0.09107030928134918,0.9997990131378174,0.40711939334869385,0.28832581639289856,-0.14810435473918915,0.9999120235443115,0.48825642466545105,0.39540356397628784,-0.0456538163125515,0.921805739402771,0.40468600392341614,0.40325284004211426,-0.12465960532426834,0.9854094982147217,0.4746136963367462,0.4902328550815582,-0.1290345937013626,0.8689364790916443,0.42598503828048706,0.4838016629219055,-0.18780739605426788,0.9751310348510742,0.47475966811180115,0.5222030878067017,-0.15538381040096283,0.796297550201416,0.4278942048549652,0.5117068886756897,-0.21429963409900665,0.9544022679328918,0.4691902697086334,0.5186038613319397,-0.17946352064609528,0.8089392781257629,0.43356484174728394,0.5104528069496155,-0.23692473769187927,0.9564856290817261,0.4672314524650574,0.5082663893699646,-0.14066237211227417,0.7810366749763489,0.4332789480686188,0.4989740550518036,-0.1966264545917511,0.9367513060569763,0.4661354422569275,0.49795594811439514,0.0024208726827055216,0.9994940161705017,0.4241959750652313,0.4973822832107544,-0.0023907111026346684,0.9995951056480408,0.4835238754749298,0.649427592754364,0.0024658835027366877,0.9764729142189026,0.4001733064651489,0.6466670036315918,0.0025384912732988596,0.9783935546875,0.49338090419769287,0.7942521572113037,0.11216025799512863,0.9760202765464783,0.3881707787513733,0.7906647324562073,0.13910730183124542,0.9878565073013306,0.485095351934433,0.8149464130401611,0.11593376100063324,0.8908390998840332,0.39008522033691406,0.8164914846420288,0.14626525342464447,0.882658064365387,0.5040044784545898,0.84639573097229,0.011523325927555561,0.9655259251594543,0.3737475275993347,0.8284505009651184,0.0457020029425621,0.9780486822128296
2,0.47070857882499695,0.21969224512577057,-0.2752676010131836,0.9999228715896606,0.47115954756736755,0.20644009113311768,-0.26202353835105896,0.999786376953125,0.47179970145225525,0.20666581392288208,-0.26203492283821106,0.9997111558914185,0.47245854139328003,0.20696763694286346,-0.2620341181755066,0.9996970891952515,0.4661121368408203,0.2054130733013153,-0.2732436954975128,0.9998449087142944,0.462858647108078,0.20487014949321747,-0.2732883095741272,0.99983149766922,0.4593207538127899,0.2043905258178711,-0.2733357548713684,0.9998492002487183,0.4684273898601532,0.2118103802204132,-0.1641891449689865,0.9992846250534058,0.4500609338283539,0.20835018157958984,-0.21571476757526398,0.9997943043708801,0.4678269922733307,0.2335350066423416,-0.23596897721290588,0.9998990297317505,0.4612017273902893,0.23453480005264282,-0.25107458233833313,0.9999442100524902,0.4838825762271881,0.2908821702003479,-0.08660294115543365,0.9998058080673218,0.4081534147262573,0.2883197069168091,-0.14889509975910187,0.9999136924743652,0.48882609605789185,0.3964122235774994,-0.03818633034825325,0.9211239218711853,0.4052256941795349,0.40417179465293884,-0.12414322793483734,0.9855722784996033,0.4747743010520935,0.4899351894855499,-0.12795916199684143,0.8663650155067444,0.42714786529541016,0.4855310618877411,-0.18785005807876587,0.9739035964012146,0.47482484579086304,0.5217985510826111,-0.1544266790151596,0.7924548983573914,0.4305533766746521,0.5153999924659729,-0.21611198782920837,0.9518758654594421,0.4694153666496277,0.5184377431869507,-0.18090656399726868,0.8049354553222656,0.435188889503479,0.5114437341690063,-0.2373533844947815,0.9538885354995728,0.4674549698829651,0.5077419877052307,-0.14055271446704865,0.7752869129180908,0.434919536113739,0.49840307235717773,-0.1963672935962677,0.9333140254020691,0.46790364384651184,0.5001014471054077,0.005350810941308737,0.9995017051696777,0.42579931020736694,0.49893805384635925,-0.005321739707142115,0.9996042847633362,0.4870964586734772,0.6560200452804565,0.008457730524241924,0.9784911870956421,0.4000517427921295,0.6478126645088196,-0.014319038018584251,0.9802719950675964,0.49331942200660706,0.798904299736023,0.1314428448677063,0.9780135154724121,0.3880932033061981,0.7907617092132568,0.12326864153146744,0.9888054132461548,0.48503151535987854,0.8197219967842102,0.13647818565368652,0.8971678018569946,0.3900083601474762,0.815506100654602,0.13026753067970276,0.8894304633140564,0.5047220587730408,0.8549060225486755,0.025868922472000122,0.9681677222251892,0.37394440174102783,0.8291162848472595,0.020885663107037544,0.9796133637428284
3,0.46588602662086487,0.2234858125448227,-0.29194527864456177,0.999920666217804,0.46825987100601196,0.20975519716739655,-0.27937695384025574,0.9997769594192505,0.46922123432159424,0.20999516546726227,-0.2793883681297302,0.9997052550315857,0.4701050817966461,0.21032291650772095,-0.27939483523368835,0.9996896982192993,0.46248337626457214,0.2094465047121048,-0.2851371467113495,0.999837338924408,0.4594982862472534,0.20930081605911255,-0.2851887345314026,0.9998263120651245,0.45644456148147583,0.2090628296136856,-0.2852473258972168,0.9998440146446228,0.46701934933662415,0.21596716344356537,-0.18310332298278809,0.9992745518684387,0.45004361867904663,0.21381936967372894,-0.21024037897586823,0.9997796416282654,0.4638932943344116,0.23909592628479004,-0.2533549964427948,0.9998906254768372,0.45707187056541443,0.2403576374053955,-0.2611430287361145,0.9999373555183411,0.4839382767677307,0.2926088273525238,-0.11167645454406738,0.99980229139328,0.4090706408023834,0.2885662019252777,-0.1468023806810379,0.9999080300331116,0.49049869179725647,0.398237943649292,-0.07274911552667618,0.922620952129364,0.40592044591903687,0.40546199679374695,-0.1169930249452591,0.9844005703926086,0.47486498951911926,0.4891100227832794,-0.15856455266475677,0.8644825220108032,0.42744943499565125,0.4840555191040039,-0.18609213829040527,0.9705729484558105,0.47482773661613464,0.52074134349823,-0.18704544007778168,0.7900976538658142,0.4304274320602417,0.5129574537277222,-0.21454671025276184,0.9463498592376709,0.46941491961479187,0.5165629386901855,-0.21114014089107513,0.8021746277809143,0.4360466003417969,0.5096009969711304,-0.23671388626098633,0.9484207034111023,0.4674958884716034,0.5050675868988037,-0.1699388176202774,0.770751416683197,0.43571195006370544,0.4964214861392975,-0.1952781230211258,0.9267230033874512,0.46872422099113464,0.5016276240348816,-0.0036590867675840855,0.9995033740997314,0.42688044905662537,0.5003541707992554,0.003638848662376404,0.9996082186698914,0.48686203360557556,0.6566404104232788,0.006732822395861149,0.9802467226982117,0.40005752444267273,0.6480056047439575,0.007066705264151096,0.9818572402000427,0.4948355257511139,0.7995622754096985,0.12643121182918549,0.9798035621643066,0.388252854347229,0.7907077074050903,0.1411975920200348,0.9895719289779663,0.4876611828804016,0.8199560642242432,0.1311986893415451,0.9001576900482178,0.39025360345840454,0.8143693208694458,0.1483001708984375,0.8946179747581482,0.5005992650985718,0.8522035479545593,0.02529189921915531,0.9704992771148682,0.37394747138023376,0.8291126489639282,0.04492326080799103,0.9808707237243652
4,0.4652767777442932,0.22784075140953064,-0.27717769145965576,0.9999244213104248,0.4665551781654358,0.21452534198760986,-0.2627081573009491,0.9997870326042175,0.4676041603088379,0.21491208672523499,-0.262738436460495,0.9997193813323975,0.4685631990432739,0.21529421210289001,-0.26275238394737244,0.9997042417526245,0.46099889278411865,0.2138098180294037,-0.273110032081604,0.9998449683189392,0.45839202404022217,0.21361112594604492,-0.2731717526912689,0.9998350143432617,0.45578712224960327,0.21320830285549164,-0.27327144145965576,0.9998517036437988,0.46611228585243225,0.22034795582294464,-0.16520358622074127,0.9993056654930115,0.4500122666358948,0.21774223446846008,-0.19678373634815216,0.9997897148132324,0.4615536034107208,0.2453199326992035,-0.23863430321216583,0.9998928904533386,0.4551202058792114,0.24517960846424103,-0.25486505031585693,0.9999389052391052,0.4833833575248718,0.29440808296203613,-0.09287777543067932,0.9998061060905457,0.40955492854118347,0.28934648633003235,-0.13085827231407166,0.9999103546142578,0.4914172291755676,0.39726144075393677,-0.0642147958278656,0.9236711859703064,0.4061509668827057,0.40669217705726624,-0.11084846407175064,0.9847576022148132,0.47637829184532166,0.48398539423942566,-0.14517515897750854,0.866532027721405,0.427967369556427,0.4830549955368042,-0.1827249675989151,0.9710410237312317,0.47568443417549133,0.5175308585166931,-0.17072191834449768,0.7923396825790405,0.43255820870399475,0.5111556053161621,-0.21237753331661224,0.9468309879302979,0.47157779335975647,0.5105717182159424,-0.19701415300369263,0.8039753437042236,0.43917030096054077,0.5079545974731445,-0.2326270192861557,0.9487584829330444,0.46964746713638306,0.49848729372024536,-0.15666159987449646,0.77149897813797,0.4380185902118683,0.49500465393066406,-0.19102878868579865,0.9270561933517456,0.4685194194316864,0.50281822681427,0.0002812294114846736,0.9995158314704895,0.4271806478500366,0.5016136169433594,-0.0002829509030561894,0.9996204972267151,0.48675110936164856,0.6578773856163025,0.006784768309444189,0.9818426370620728,0.40003496408462524,0.6482518315315247,-0.007499805185943842,0.9833871126174927,0.4947260618209839,0.8000908493995667,0.11434943974018097,0.9814268350601196,0.3871209919452667,0.7921200394630432,0.12904614210128784,0.990359902381897,0.48737069964408875,0.821723997592926,0.11728250235319138,0.9055066704750061,0.3886052966117859,0.815302312374115,0.14013099670410156,0.9001528024673462,0.5024444460868835,0.8518349528312683,0.010035630315542221,0.9726585745811462,0.3743497431278229,0.8297303915023804,0.022526759654283524,0.9821968674659729
5,0.47012147307395935,0.22555284202098846,-0.2917693555355072,0.9999253153800964,0.4706670641899109,0.21350057423114777,-0.2774215638637543,0.999788224697113,0.47156617045402527,0.21428099274635315,-0.2774364650249481,0.9997231960296631,0.4723309278488159,0.21507562696933746,-0.27743977308273315,0.999705970287323,0.46506649255752563,0.21229907870292664,-0.2896482050418854,0.9998456239700317,0.46202993392944336,0.21230049431324005,-0.28969934582710266,0.9998376369476318,0.4588741660118103,0.21211107075214386,-0.2897605299949646,0.9998541474342346,0.4682731330394745,0.21868164837360382,-0.1774088442325592,0.9993084669113159,0.4518985450267792,0.21693436801433563,-0.23171411454677582,0.9997946619987488,0.4669894874095917,0.24309486150741577,-0.25188443064689636,0.9998915195465088,0.4602135717868805,0.2414647936820984,-0.2685045599937439,0.9999394416809082,0.48422524333000183,0.2952273488044739,-0.09359852224588394,0.9998038411140442,0.40954941511154175,0.2894081771373749,-0.173020601272583,0.9999130368232727,0.4913142919540405,0.40234890580177307,-0.04966236278414726,0.9189918041229248,0.40614792704582214,0.40659794211387634,-0.15657716989517212,0.9856319427490234,0.47567540407180786,0.490778386592865,-0.13883155584335327,0.8571455478668213,0.4294315576553345,0.4867613613605499,-0.22090820968151093,0.9723215699195862,0.4748534560203552,0.5220476388931274,-0.16608324646949768,0.7802174687385559,0.4338403344154358,0.5156334042549133,-0.2526110112667084,0.9486952424049377,0.4713234603404999,0.5187981724739075,-0.19142358005046844,0.7918704152107239,0.4404294788837433,0.5117787718772888,-0.27186673879623413,0.9504507780075073,0.4693828225135803,0.507027268409729,-0.15121427178382874,0.7587328553199768,0.4396246671676636,0.4997665286064148,-0.2284397929906845,0.9291200637817383,0.4673604965209961,0.5030463933944702,0.0036147425416857004,0.9995323419570923,0.42394933104515076,0.5012803673744202,-0.003638346679508686,0.9996287226676941,0.4863821268081665,0.6568849086761475,0.015216216444969177,0.9832217693328857,0.40004685521125793,0.6488870978355408,-0.0011533312499523163,0.9845426678657532,0.4946326017379761,0.8008736371994019,0.14589251577854156,0.9827694296836853,0.3872710168361664,0.7921108603477478,0.15352749824523926,0.9908273220062256,0.4873293340206146,0.8210004568099976,0.1517961025238037,0.9092025756835938,0.3886529803276062,0.8132591247558594,0.1629181057214737,0.9020657539367676,0.5028058290481567,0.8507488965988159,0.04125388339161873,0.9744125604629517,0.3742656707763672,0.8304620981216431,0.0512104257941246,0.982994794845581
6,0.47702646255493164,0.2251112163066864,-0.287263959646225,0.9999292492866516,0.47516024112701416,0.21130473911762238,-0.27550992369651794,0.9997990131378174,0.47548171877861023,0.21131108701229095,-0.27548152208328247,0.9997377991676331,0.4757043719291687,0.21138912439346313,-0.2754543721675873,0.9997214674949646,0.47080713510513306,0.2111717164516449,-0.2773755192756653,0.999853789806366,0.46783098578453064,0.2110036462545395,-0.27741920948028564,0.9998466968536377,0.4644804000854492,0.21047016978263855,-0.2774859368801117,0.9998624324798584,0.4698251485824585,0.21397744119167328,-0.16737648844718933,0.9993436336517334,0.45499280095100403,0.21365708112716675,-0.22846385836601257,0.9998072385787964,0.4744005799293518,0.23919621109962463,-0.24934911727905273,0.999894380569458,0.4691409766674042,0.23995092511177063,-0.2554952800273895,0.9999417662620544,0.48469266295433044,0.2951619029045105,-0.08843918144702911,0.9998037815093994,0.40975064039230347,0.28939804434776306,-0.17769092321395874,0.9999155402183533,0.49135562777519226,0.40206316113471985,-0.037165459245443344,0.9140599966049194,0.4061186611652374,0.4078134000301361,-0.16660088300704956,0.9865980744361877,0.4756409823894501,0.4922770857810974,-0.12317902594804764,0.8513917922973633,0.432295024394989,0.4892401695251465,-0.22434434294700623,0.9738677740097046,0.47510528564453125,0.5238970518112183,-0.14881370961666107,0.7713882923126221,0.4391060471534729,0.5185659527778625,-0.2547963261604309,0.9510272741317749,0.4714178144931793,0.5206422805786133,-0.17370954155921936,0.7835406064987183,0.44433432817459106,0.5134375095367432,-0.272405207157135,0.9526068568229675,0.46928420662879944,0.5087624788284302,-0.13613776862621307,0.7498064637184143,0.4432311952114105,0.5017842650413513,-0.23089948296546936,0.931801974773407,0.46729788184165955,0.5028455257415771,0.006802718620747328,0.9995362758636475,0.42391616106033325,0.5005614757537842,-0.006799214985221624,0.9996309876441956,0.4861098527908325,0.6562681794166565,0.0014446007553488016,0.9841267466545105,0.3988814651966095,0.6474907398223877,-0.029783625155687332,0.9854105114936829,0.49463075399398804,0.801897406578064,0.11086276918649673,0.9837026596069336,0.3872769773006439,0.7927518486976624,0.10913833975791931,0.9910492300987244,0.4872255027294159,0.8223433494567871,0.11460008472204208,0.9125050902366638,0.3884732127189636,0.813299834728241,0.1163722351193428,0.9036412239074707,0.5030239820480347,0.8516204953193665,0.005528333596885204,0.975600004196167,0.3739752471446991,0.830848753452301,0.007584542967379093,0.9832340478897095
7,0.4786003828048706,0.223948135972023,-0.2782258987426758,0.9999316930770874,0.4768005907535553,0.21055743098258972,-0.26489928364753723,0.9998045563697815,0.47709718346595764,0.2107614129781723,-0.26490235328674316,0.99974524974823,0.4772825241088867,0.21105922758579254,-0.2648937702178955,0.999728262424469,0.47242334485054016,0.2099013775587082,-0.2746475040912628,0.9998586773872375,0.4694080352783203,0.20955760776996613,-0.27469635009765625,0.9998527765274048,0.46596914529800415,0.20900858938694,-0.2747529447078705,0.9998680949211121,0.4709089994430542,0.2134234458208084,-0.1628521829843521,0.9993579387664795,0.45583102107048035,0.2133796066045761,-0.23057731986045837,0.9998166561126709,0.47612035274505615,0.2384406179189682,-0.2396635264158249,0.999894380569458,0.47044485807418823,0.2383473664522171,-0.2539981007575989,0.99994295835495,0.4848751127719879,0.29411616921424866,-0.08609025180339813,0.9998025298118591,0.40972664952278137,0.2896267771720886,-0.17588679492473602,0.9999184012413025,0.49206337332725525,0.3985729217529297,-0.027221636846661568,0.9076511859893799,0.40617093443870544,0.4087926149368286,-0.1608910709619522,0.9875539541244507,0.4759041368961334,0.49108803272247314,-0.11613360792398453,0.8421609997749329,0.43275439739227295,0.490732878446579,-0.2211632877588272,0.9755037426948547,0.4755913019180298,0.5231314301490784,-0.141371488571167,0.759179413318634,0.4385242164134979,0.5195213556289673,-0.2521612346172333,0.953633725643158,0.4721010625362396,0.516423761844635,-0.16660836338996887,0.7717303037643433,0.4447750449180603,0.5143714547157288,-0.26950380206108093,0.9550644755363464,0.4696674644947052,0.5063332319259644,-0.12930119037628174,0.737495481967926,0.4436807334423065,0.5042403340339661,-0.22769594192504883,0.9350141882896423,0.4672393500804901,0.5025498867034912,0.006932599935680628,0.9995334148406982,0.4236694872379303,0.5004953742027283,-0.006916635669767857,0.9996260404586792,0.4860822260379791,0.650303840637207,-0.011321911588311195,0.9848600029945374,0.39891594648361206,0.6453055143356323,-0.03609183058142662,0.986022412776947,0.4949447810649872,0.8015879988670349,0.10805115103721619,0.9842928647994995,0.3876124322414398,0.7924045324325562,0.10497219860553741,0.9911640882492065,0.4874594807624817,0.8205696940422058,0.11292751878499985,0.9146764874458313,0.3886597752571106,0.81295245885849,0.11246328800916672,0.9052846431732178,0.5030356645584106,0.8477894067764282,0.005426886025816202,0.9762741923332214,0.37314555048942566,0.8310432434082031,0.0029703108593821526,0.9832518100738525
8,0.47942039370536804,0.22319354116916656,-0.27174869179725647,0.9999298453330994,0.47800156474113464,0.21003662049770355,-0.2571123242378235,0.999798595905304,0.47831669449806213,0.21032856404781342,-0.2571316361427307,0.9997373223304749,0.4785187840461731,0.21073505282402039,-0.2571336627006531,0.9997187256813049,0.4734179377555847,0.20909811556339264,-0.27377504110336304,0.9998564124107361,0.4703139364719391,0.20864517986774445,-0.27382010221481323,0.9998517036437988,0.4668266475200653,0.208102285861969,-0.2738780677318573,0.9998680353164673,0.47173458337783813,0.21302734315395355,-0.15466517210006714,0.9993338584899902,0.45662084221839905,0.21313059329986572,-0.22445407509803772,0.9998193383216858,0.4766251742839813,0.23784561455249786,-0.23154664039611816,0.9998875856399536,0.4707390069961548,0.237370103597641,-0.2519126236438751,0.9999414086341858,0.48538050055503845,0.29405367374420166,-0.0685623362660408,0.9997844099998474,0.4097607731819153,0.2903635799884796,-0.17313003540039062,0.999918520450592,0.49212777614593506,0.3981077969074249,-0.011917673982679844,0.8929647207260132,0.40675559639930725,0.4099476635456085,-0.16011278331279755,0.9882575273513794,0.4760751724243164,0.48634421825408936,-0.1053030863404274,0.8205389976501465,0.433347225189209,0.4904702603816986,-0.22331228852272034,0.9765167832374573,0.4760156273841858,0.5173298716545105,-0.1306351274251938,0.7355889081954956,0.4389535188674927,0.5185929536819458,-0.25595372915267944,0.9551571607589722,0.47256118059158325,0.5091692209243774,-0.15683728456497192,0.7486631870269775,0.4448690116405487,0.5131461024284363,-0.2724413573741913,0.9564536213874817,0.47045576572418213,0.4977777600288391,-0.1190631091594696,0.7144127488136292,0.44391247630119324,0.5027498006820679,-0.22971847653388977,0.9365904331207275,0.4672078788280487,0.5030164122581482,0.010445218533277512,0.9995164275169373,0.42368900775909424,0.5010475516319275,-0.010398938320577145,0.9996111392974854,0.48616525530815125,0.6502947807312012,-0.008416738361120224,0.9856125712394714,0.39889994263648987,0.6453539133071899,-0.03726121038198471,0.9867398142814636,0.49552997946739197,0.8011251091957092,0.12832984328269958,0.9848703742027283,0.38826677203178406,0.7925813794136047,0.1103672981262207,0.9913841485977173,0.4874715805053711,0.8191518187522888,0.13561393320560455,0.9165881276130676,0.3894466459751129,0.8130033612251282,0.11906914412975311,0.9067716598510742,0.5054641962051392,0.8471314311027527,0.02855396457016468,0.9769777059555054,0.37413087487220764,0.8327511548995972,0.007298273034393787,0.9834933280944824
9,0.4782114326953888,0.22327083349227905,-0.26598379015922546,0.9999299645423889,0.47755056619644165,0.21015147864818573,-0.25097113847732544,0.9997987747192383,0.47808918356895447,0.2103762924671173,-0.25099146366119385,0.9997380971908569,0.47849923372268677,0.21067018806934357,-0.2509844899177551,0.9997186660766602,0.4725135266780853,0.20887678861618042,-0.2674490213394165,0.9998572468757629,0.46937477588653564,0.2081766575574875,-0.26748690009117126,0.9998529553413391,0.46592506766319275,0.20746828615665436,-0.267529159784317,0.9998692274093628,0.47218650579452515,0.21311260759830475,-0.14875192940235138,0.9993284344673157,0.4563690423965454,0.21221518516540527,-0.22228381037712097,0.999822735786438,0.4757007360458374,0.2373841404914856,-0.2255011945962906,0.9998841881752014,0.4694054424762726,0.237105131149292,-0.24629677832126617,0.9999405145645142,0.486036479473114,0.29428377747535706,-0.06331110745668411,0.9997768402099609,0.41036856174468994,0.2910442650318146,-0.1711398810148239,0.9999189972877502,0.49215278029441833,0.3986591398715973,-0.006701455917209387,0.885378897190094,0.4072001874446869,0.41018402576446533,-0.1486225426197052,0.9886196851730347,0.4764079451560974,0.4863308370113373,-0.09641771763563156,0.8096458315849304,0.4334951639175415,0.489860475063324,-0.20650169253349304,0.9767576456069946,0.4763585031032562,0.5172767043113708,-0.12074030190706253,0.7233296632766724,0.4383721351623535,0.5176225304603577,-0.2380942553281784,0.955329954624176,0.4727407693862915,0.5084981322288513,-0.14810021221637726,0.736534833908081,0.44441351294517517,0.5120975971221924,-0.25541120767593384,0.9565356969833374,0.47045058012008667,0.49807998538017273,-0.11013588309288025,0.7019962668418884,0.4435768723487854,0.5016206502914429,-0.21331483125686646,0.9365301728248596,0.4675534963607788,0.5050303936004639,0.012658318504691124,0.9995050430297852,0.4247117042541504,0.502549409866333,-0.012621813453733921,0.9996045827865601,0.48739126324653625,0.6540745496749878,0.016744278371334076,0.9865024089813232,0.3988999128341675,0.647838830947876,-0.027427081018686295,0.9876492023468018,0.4952436089515686,0.8010998964309692,0.14502382278442383,0.9857473969459534,0.388823926448822,0.7928252220153809,0.11926726996898651,0.991828978061676,0.4872913360595703,0.818979024887085,0.15072175860404968,0.9194668531417847,0.389978289604187,0.8130890727043152,0.12713097035884857,0.9092968106269836,0.5062791109085083,0.847176730632782,0.04250426962971687,0.978166937828064,0.37470120191574097,0.8330828547477722,0.016158906742930412,0.9842569828033447
